dataset,system,label_basis,n_total,n_parse_ok,parse_failures,parse_failure_rate,overall_accuracy,macro_f1,n_conflicting,cco_n,cco_rate,cco_wilson_low,cco_wilson_high,conflict_recall,n_pure_sr,pure_sr_correct_n,pure_sr_accuracy,false_conflict_n,false_conflict_rate_on_sr,n_insufficient,insufficient_directional_n,insufficient_directional_rate,pred_support_n,pred_refute_n,pred_insufficient_n,pred_conflicting_n,pred_parse_failure_n
VitaminC-Mixed,closed_openai_current,dataset_defined,250,250,0,0.0,0.64,0.6359301705612913,100,38,0.38,0.29097599252478734,0.47790244704488916,0.57,100,72,0.72,1,0.01,50,19,0.38,88,45,59,58,0
VitaminC-Mixed,closed_anthropic_current,dataset_defined,250,250,0,0.0,0.664,0.6547132191495677,100,38,0.38,0.29097599252478734,0.47790244704488916,0.61,100,77,0.77,4,0.04,50,21,0.42,82,59,43,66,0
VitaminC-Mixed,openweight_gpt_oss_120b,dataset_defined,250,250,0,0.0,0.724,0.7004951654863656,100,24,0.24,0.16691325556948772,0.33232336349814473,0.75,100,79,0.79,0,0.0,50,22,0.44,79,51,44,76,0
VitaminC-Mixed,openweight_mistral_small_4,dataset_defined,250,250,0,0.0,0.628,0.6078503066971116,100,36,0.36,0.2727122040140433,0.4576459754839126,0.62,100,74,0.74,1,0.01,50,24,0.48,89,52,41,68,0
