dataset,system,label_basis,n_total,n_parse_ok,parse_failures,parse_failure_rate,overall_accuracy,macro_f1,n_conflicting,cco_n,cco_rate,cco_wilson_low,cco_wilson_high,conflict_recall,n_pure_sr,pure_sr_correct_n,pure_sr_accuracy,false_conflict_n,false_conflict_rate_on_sr,n_insufficient,insufficient_directional_n,insufficient_directional_rate,pred_support_n,pred_refute_n,pred_insufficient_n,pred_conflicting_n,pred_parse_failure_n
AVeriTeC,closed_openai_current,dataset_defined,285,285,0,0.0,0.7052631578947368,0.6967050738714262,150,44,0.29333333333333333,0.22636420924618766,0.37062349175928394,0.6133333333333333,100,80,0.8,9,0.09,35,3,0.08571428571428572,54,73,54,104,0
AVeriTeC,closed_anthropic_current,dataset_defined,285,283,2,0.007017543859649123,0.7228070175438597,0.7146593734655469,150,45,0.3,0.23240829378731656,0.3775798039599141,0.6333333333333333,100,87,0.87,5,0.05,35,7,0.2,53,87,40,103,2
AVeriTeC,openweight_gpt_oss_120b,dataset_defined,285,285,0,0.0,0.5614035087719298,0.5692654209709208,150,72,0.48,0.4015511788179087,0.5594476309568144,0.37333333333333335,100,79,0.79,4,0.04,35,10,0.2857142857142857,57,105,63,60,0
AVeriTeC,openweight_mistral_small_4,dataset_defined,285,285,0,0.0,0.7017543859649122,0.6684045256830067,150,32,0.21333333333333335,0.15536236119471125,0.28562057890965276,0.72,100,68,0.68,18,0.18,35,7,0.2,50,61,44,130,0
